Player,Age,Position,Nation,Team,Value
Cédric Soares,32,Right-Back,Portugal,Arsenal FC,2.14
Declan Rice,25,Defensive Midfield,England,Arsenal FC,128.4
Thomas Partey,31,Defensive Midfield,Ghana,Arsenal FC,19.26
Jorginho,32,Defensive Midfield,Italy,Arsenal FC,12.84
Mohamed Elneny,31,Defensive Midfield,Egypt,Arsenal FC,3.75
Albert Sambi Lokonga,24,Central Midfield,Belgium,Arsenal FC,16.05
Martin Ødegaard,25,Attacking Midfield,Norway,Arsenal FC,117.7
Kai Havertz,25,Attacking Midfield,Germany,Arsenal FC,74.9
Emile Smith Rowe,23,Attacking Midfield,England,Arsenal FC,23.54
Fábio Vieira,24,Attacking Midfield,Portugal,Arsenal FC,23.54
Gabriel Martinelli,23,Left Winger,Brazil,Arsenal FC,74.9
Leandro Trossard,29,Left Winger,Belgium,Arsenal FC,37.45
Bukayo Saka,22,Right Winger,England,Arsenal FC,149.8
Reiss Nelson,24,Right Winger,England,Arsenal FC,16.05
Gabriel Jesus,27,Centre-Forward,Brazil,Arsenal FC,69.55
Eddie Nketiah,25,Centre-Forward,England,Arsenal FC,32.1
Robert Sánchez,26,Goalkeeper,Spain,Chelsea FC,21.4
Djordje Petrovic,24,Goalkeeper,Serbia,Chelsea FC,21.4
Marcus Bettinelli,32,Goalkeeper,England,Chelsea FC,1.07
Lucas Bergström,21,Goalkeeper,Finland,Chelsea FC,0.75
Levi Colwill,21,Centre-Back,England,Chelsea FC,53.5
Axel Disasi,26,Centre-Back,France,Chelsea FC,42.8
Benoît Badiashile,23,Centre-Back,France,Chelsea FC,32.1
Wesley Fofana,23,Centre-Back,France,Chelsea FC,26.75
Trevoh Chalobah,24,Centre-Back,England,Chelsea FC,13.91
Alfie Gilchrist,20,Centre-Back,England,Chelsea FC,5.35
Malang Sarr,25,Centre-Back,France,Chelsea FC,4.28
Thiago Silva,39,Centre-Back,Brazil,Chelsea FC,1.07
Ben Chilwell,27,Left-Back,England,Chelsea FC,29.96
Marc Cucurella,25,Left-Back,Spain,Chelsea FC,26.75
Reece James,24,Right-Back,England,Chelsea FC,42.8
Malo Gusto,21,Right-Back,France,Chelsea FC,37.45
Moisés Caicedo,22,Defensive Midfield,Ecuador,Chelsea FC,80.25
Roméo Lavia,20,Defensive Midfield,Belgium,Chelsea FC,37.45
Lesley Ugochukwu,20,Defensive Midfield,France,Chelsea FC,26.75
Enzo Fernández,23,Central Midfield,Argentina,Chelsea FC,80.25
Conor Gallagher,24,Central Midfield,England,Chelsea FC,53.5
Carney Chukwuemeka,20,Central Midfield,England,Chelsea FC,16.05
Cesare Casadei,21,Central Midfield,Italy,Chelsea FC,10.7
Cole Palmer,22,Attacking Midfield,England,Chelsea FC,85.6
Christopher Nkunku,26,Attacking Midfield,France,Chelsea FC,69.55
Raheem Sterling,29,Left Winger,England,Chelsea FC,37.45
Mykhaylo Mudryk,23,Left Winger,Ukraine,Chelsea FC,37.45
Diego Moreira,19,Left Winger,Portugal,Chelsea FC,3.21
Noni Madueke,22,Right Winger,England,Chelsea FC,29.96
Nicolas Jackson,23,Centre-Forward,Senegal,Chelsea FC,37.45
Armando Broja,22,Centre-Forward,Albania,Chelsea FC,23.54
David Datro Fofana,21,Centre-Forward,Cote d'Ivoire,Chelsea FC,12.84
Deivid Washington,19,Centre-Forward,Brazil,Chelsea FC,9.63
Alisson,31,Goalkeeper,Brazil,Liverpool FC,29.96
Caoimhín Kelleher,25,Goalkeeper,Ireland,Liverpool FC,21.4
Adrián,37,Goalkeeper,Spain,Liverpool FC,0.64
Ibrahima Konaté,25,Centre-Back,France,Liverpool FC,48.15
Virgil van Dijk,32,Centre-Back,Netherlands,Liverpool FC,32.1
Joe Gomez,27,Centre-Back,England,Liverpool FC,29.96
Jarell Quansah,21,Centre-Back,England,Liverpool FC,23.54
Joel Matip,32,Centre-Back,Cameroon,Liverpool FC,8.56
Nathaniel Phillips,27,Centre-Back,England,Liverpool FC,3.75
Rhys Williams,23,Centre-Back,England,Liverpool FC,1.93
Andrew Robertson,30,Left-Back,Scotland,Liverpool FC,32.1
Konstantinos Tsimikas,28,Left-Back,Greece,Liverpool FC,23.54
Trent Alexander-Arnold,25,Right-Back,England,Liverpool FC,74.9
Conor Bradley,20,Right-Back,Northern Ireland,Liverpool FC,16.05
Calvin Ramsay,20,Right-Back,Scotland,Liverpool FC,4.28
Wataru Endo,31,Defensive Midfield,Japan,Liverpool FC,13.91
Stefan Bajcetic,19,Defensive Midfield,Spain,Liverpool FC,11.77
Dominik Szoboszlai,23,Central Midfield,Hungary,Liverpool FC,80.25
Alexis Mac Allister,25,Central Midfield,Argentina,Liverpool FC,80.25
Curtis Jones,23,Central Midfield,England,Liverpool FC,37.45
Harvey Elliott,21,Central Midfield,England,Liverpool FC,37.45
Ryan Gravenberch,22,Central Midfield,Netherlands,Liverpool FC,37.45
Thiago,33,Central Midfield,Spain,Liverpool FC,10.7
Bobby Clark,19,Central Midfield,England,Liverpool FC,1.07
Fábio Carvalho,21,Attacking Midfield,Portugal,Liverpool FC,14.98
Luis Díaz,27,Left Winger,Colombia,Liverpool FC,80.25
Cody Gakpo,25,Left Winger,Netherlands,Liverpool FC,53.5
Diogo Jota,27,Left Winger,Portugal,Liverpool FC,53.5
Mohamed Salah,32,Right Winger,Egypt,Liverpool FC,58.85
Ben Doak,18,Right Winger,Scotland,Liverpool FC,10.7
Darwin Núñez,25,Centre-Forward,Uruguay,Liverpool FC,74.9
Guglielmo Vicario,27,Goalkeeper,Italy,Tottenham Hotspur,37.45
Fraser Forster,36,Goalkeeper,England,Tottenham Hotspur,1.28
Brandon Austin,25,Goalkeeper,England,Tottenham Hotspur,0.64
Alfie Whiteman,25,Goalkeeper,England,Tottenham Hotspur,0.54
Cristian Romero,26,Centre-Back,Argentina,Tottenham Hotspur,64.2
Micky van de Ven,23,Centre-Back,Netherlands,Tottenham Hotspur,58.85
Radu Drăgușin,22,Centre-Back,Romania,Tottenham Hotspur,26.75
Joe Rodon,26,Centre-Back,Wales,Tottenham Hotspur,8.56
Ashley Phillips,19,Centre-Back,England,Tottenham Hotspur,2.35
Japhet Tanganga,25,Centre-Back,England,Tottenham Hotspur,1.93
Destiny Udogie,21,Left-Back,Italy,Tottenham Hotspur,48.15
Sergio Reguilón,27,Left-Back,Spain,Tottenham Hotspur,12.84
Ben Davies,31,Left-Back,Wales,Tottenham Hotspur,10.7
Pedro Porro,24,Right-Back,Spain,Tottenham Hotspur,48.15
Emerson Royal,25,Right-Back,Brazil,Tottenham Hotspur,19.26
Yves Bissouma,27,Defensive Midfield,Mali,Tottenham Hotspur,37.45
Pierre-Emile Højbjerg,28,Defensive Midfield,Denmark,Tottenham Hotspur,19.26
Oliver Skipp,23,Defensive Midfield,England,Tottenham Hotspur,16.05
Pape Matar Sarr,21,Central Midfield,Senegal,Tottenham Hotspur,48.15
Rodrigo Bentancur,27,Central Midfield,Uruguay,Tottenham Hotspur,37.45
Ryan Sessegnon,24,Left Midfield,England,Tottenham Hotspur,10.7
James Maddison,27,Attacking Midfield,England,Tottenham Hotspur,74.9
Giovani Lo Celso,28,Attacking Midfield,Argentina,Tottenham Hotspur,17.12
Heung-min Son,31,Left Winger,South Korea,Tottenham Hotspur,48.15
Bryan Gil,23,Left Winger,Spain,Tottenham Hotspur,14.98
Manor Solomon,24,Left Winger,Israel,Tottenham Hotspur,13.91
Dejan Kulusevski,24,Right Winger,Sweden,Tottenham Hotspur,58.85
Brennan Johnson,23,Right Winger,Wales,Tottenham Hotspur,51.36
Richarlison,27,Centre-Forward,Brazil,Tottenham Hotspur,40.66
Timo Werner,28,Centre-Forward,Germany,Tottenham Hotspur,18.19
André Onana,28,Goalkeeper,Cameroon,Manchester United,37.45
Altay Bayındır,26,Goalkeeper,Türkiye,Manchester United,10.7
Tom Heaton,38,Goalkeeper,England,Manchester United,0.27
Lisandro Martínez,26,Centre-Back,Argentina,Manchester United,48.15
Raphaël Varane,31,Centre-Back,France,Manchester United,21.4
Harry Maguire,31,Centre-Back,England,Manchester United,19.26
Victor Lindelöf,29,Centre-Back,Sweden,Manchester United,16.05
Willy Kambwala,19,Centre-Back,France,Manchester United,5.35
Jonny Evans,36,Centre-Back,Northern Ireland,Manchester United,2.14
Luke Shaw,28,Left-Back,England,Manchester United,34.24
Tyrell Malacia,24,Left-Back,Netherlands,Manchester United,19.26
Brandon Williams,23,Left-Back,England,Manchester United,2.67
Diogo Dalot,25,Right-Back,Portugal,Manchester United,37.45
Aaron Wan-Bissaka,26,Right-Back,England,Manchester United,21.4
Scott McTominay,27,Defensive Midfield,Scotland,Manchester United,34.24
Sofyan Amrabat,27,Defensive Midfield,Morocco,Manchester United,23.54
Casemiro,32,Defensive Midfield,Brazil,Manchester United,21.4
Kobbie Mainoo,19,Central Midfield,England,Manchester United,53.5
Christian Eriksen,32,Central Midfield,Denmark,Manchester United,8.56
Daniel Gore,19,Central Midfield,England,Manchester United,0.96
Bruno Fernandes,29,Attacking Midfield,Portugal,Manchester United,74.9
Mason Mount,25,Attacking Midfield,England,Manchester United,37.45
Shola Shoretire,20,Attacking Midfield,England,Manchester United,4.28
Marcus Rashford,26,Left Winger,England,Manchester United,64.2
Alejandro Garnacho,19,Left Winger,Argentina,Manchester United,48.15
Antony,24,Right Winger,Brazil,Manchester United,26.75
Amad Diallo,21,Right Winger,Cote d'Ivoire,Manchester United,19.26
Omari Forson,19,Right Winger,England,Manchester United,2.14
Rasmus Højlund,21,Centre-Forward,Denmark,Manchester United,69.55
Anthony Martial,28,Centre-Forward,France,Manchester United,10.7
Emiliano Martínez,31,Goalkeeper,Argentina,Aston Villa,29.96
Joe Gauci,23,Goalkeeper,Australia,Aston Villa,1.6
Robin Olsen,34,Goalkeeper,Sweden,Aston Villa,1.6
Filip Marschall,21,Goalkeeper,England,Aston Villa,0.86
Viljami Sinisalo,22,Goalkeeper,Finland,Aston Villa,0.64
Pau Torres,27,Centre-Back,Spain,Aston Villa,48.15
Ezri Konsa,26,Centre-Back,England,Aston Villa,37.45
Diego Carlos,31,Centre-Back,Brazil,Aston Villa,17.12
Tyrone Mings,31,Centre-Back,England,Aston Villa,13.91
Clément Lenglet,29,Centre-Back,France,Aston Villa,10.7
Calum Chambers,29,Centre-Back,England,Aston Villa,4.28
Kortney Hause,28,Centre-Back,England,Aston Villa,2.14
Álex Moreno,31,Left-Back,Spain,Aston Villa,13.91
Lucas Digne,30,Left-Back,France,Aston Villa,12.84
Lino Sousa,19,Left-Back,England,Aston Villa,2.14
Matty Cash,26,Right-Back,Poland,Aston Villa,29.96
Kaine Kesler-Hayden,21,Right-Back,England,Aston Villa,2.35
Boubacar Kamara,24,Defensive Midfield,France,Aston Villa,40.66
Douglas Luiz,26,Central Midfield,Brazil,Aston Villa,74.9
John McGinn,29,Central Midfield,Scotland,Aston Villa,32.1
Youri Tielemans,27,Central Midfield,Belgium,Aston Villa,26.75
Tim Iroegbunam,20,Central Midfield,England,Aston Villa,4.28
Jacob Ramsey,23,Attacking Midfield,England,Aston Villa,37.45
Nicolò Zaniolo,24,Attacking Midfield,Italy,Aston Villa,21.4
Morgan Rogers,21,Left Winger,England,Aston Villa,16.05
Moussa Diaby,24,Right Winger,France,Aston Villa,58.85
Leon Bailey,26,Right Winger,Jamaica,Aston Villa,44.94
Emiliano Buendía,27,Right Winger,Argentina,Aston Villa,23.54
Ollie Watkins,28,Centre-Forward,England,Aston Villa,69.55
Jhon Durán,20,Centre-Forward,Colombia,Aston Villa,21.4
Nick Pope,32,Goalkeeper,England,Newcastle United,17.12
Martin Dúbravka,35,Goalkeeper,Slovakia,Newcastle United,1.07
Loris Karius,31,Goalkeeper,Germany,Newcastle United,1.07
Mark Gillespie,32,Goalkeeper,England,Newcastle United,0.32
Sven Botman,24,Centre-Back,Netherlands,Newcastle United,48.15
Fabian Schär,32,Centre-Back,Switzerland,Newcastle United,10.7
Jamaal Lascelles,30,Centre-Back,England,Newcastle United,7.49
Paul Dummett,32,Centre-Back,Wales,Newcastle United,0.96
Kell Watts,24,Centre-Back,England,Newcastle United,0.27
Lewis Hall,19,Left-Back,England,Newcastle United,19.26
Matt Targett,28,Left-Back,England,Newcastle United,10.7
Dan Burn,32,Left-Back,England,Newcastle United,8.56
Jamal Lewis,26,Left-Back,Northern Ireland,Newcastle United,3.75
Tino Livramento,21,Right-Back,England,Newcastle United,37.45
Kieran Trippier,33,Right-Back,England,Newcastle United,10.7
Emil Krafth,29,Right-Back,Sweden,Newcastle United,2.67
Harrison Ashby,22,Right-Back,Scotland,Newcastle United,1.28
Bruno Guimarães,26,Defensive Midfield,Brazil,Newcastle United,90.95
Sandro Tonali,24,Defensive Midfield,Italy,Newcastle United,40.66
Isaac Hayden,29,Defensive Midfield,England,Newcastle United,1.93
Joelinton,27,Central Midfield,Brazil,Newcastle United,42.8
Joe Willock,24,Central Midfield,England,Newcastle United,32.1
Sean Longstaff,26,Central Midfield,England,Newcastle United,26.75
Lewis Miley,18,Central Midfield,England,Newcastle United,23.54
Elliot Anderson,21,Central Midfield,Scotland,Newcastle United,16.05
Jeff Hendrick,32,Central Midfield,Ireland,Newcastle United,0.54
Matt Ritchie,34,Right Midfield,Scotland,Newcastle United,1.07
Anthony Gordon,23,Left Winger,England,Newcastle United,64.2
Harvey Barnes,26,Left Winger,England,Newcastle United,37.45
Ryan Fraser,30,Left Winger,Scotland,Newcastle United,3.21
Miguel Almirón,30,Right Winger,Paraguay,Newcastle United,21.4
Jacob Murphy,29,Right Winger,England,Newcastle United,16.05
Alexander Isak,24,Centre-Forward,Sweden,Newcastle United,80.25
Callum Wilson,32,Centre-Forward,England,Newcastle United,13.91
Dean Henderson,27,Goalkeeper,England,Crystal Palace,12.84
Sam Johnstone,31,Goalkeeper,England,Crystal Palace,10.7
Joe Whitworth,20,Goalkeeper,England,Crystal Palace,1.07
Remi Matthews,30,Goalkeeper,England,Crystal Palace,0.54
Marc Guéhi,23,Centre-Back,England,Crystal Palace,40.66
Joachim Andersen,28,Centre-Back,Denmark,Crystal Palace,37.45
Chris Richards,24,Centre-Back,United States,Crystal Palace,12.84
Rob Holding,28,Centre-Back,England,Crystal Palace,5.35
Nathan Ferguson,23,Centre-Back,England,Crystal Palace,1.07
James Tomkins,35,Centre-Back,England,Crystal Palace,0.75
Tyrick Mitchell,24,Left-Back,England,Crystal Palace,26.75
Daniel Muñoz,28,Right-Back,Colombia,Crystal Palace,19.26
Nathaniel Clyne,33,Right-Back,England,Crystal Palace,1.6
Joel Ward,34,Right-Back,England,Crystal Palace,1.07
Cheick Doucouré,24,Defensive Midfield,Mali,Crystal Palace,37.45
Adam Wharton,20,Defensive Midfield,England,Crystal Palace,32.1
Jefferson Lerma,29,Defensive Midfield,Colombia,Crystal Palace,21.4
Jairo Riedewald,27,Defensive Midfield,Netherlands,Crystal Palace,3.21
Will Hughes,29,Central Midfield,England,Crystal Palace,9.63
Naouirou Ahamada,22,Central Midfield,France,Crystal Palace,8.56
Jeffrey Schlupp,31,Left Midfield,Ghana,Crystal Palace,7.49
Eberechi Eze,25,Attacking Midfield,England,Crystal Palace,58.85
Matheus França,20,Attacking Midfield,Brazil,Crystal Palace,16.05
Michael Olise,22,Right Winger,France,Crystal Palace,58.85
Jesurun Rak-Sakyi,21,Right Winger,England,Crystal Palace,2.14
Jean-Philippe Mateta,26,Centre-Forward,France,Crystal Palace,21.4
Odsonne Edouard,26,Centre-Forward,France,Crystal Palace,19.26
Jordan Ayew,32,Centre-Forward,Ghana,Crystal Palace,4.28
Alphonse Areola,31,Goalkeeper,France,West Ham United,10.7
Lukasz Fabianski,39,Goalkeeper,Poland,West Ham United,0.75
Joseph Anang,24,Goalkeeper,England,West Ham United,0.32
Nayef Aguerd,28,Centre-Back,Morocco,West Ham United,37.45
Kurt Zouma,29,Centre-Back,France,West Ham United,26.75
Konstantinos Mavropanos,26,Centre-Back,Greece,West Ham United,21.4
Angelo Ogbonna,36,Centre-Back,Italy,West Ham United,0.75
Emerson,29,Left-Back,Italy,West Ham United,12.84
Aaron Cresswell,34,Left-Back,England,West Ham United,0.96
Ben Johnson,24,Right-Back,England,West Ham United,8.56
Vladimír Coufal,31,Right-Back,Czech Republic,West Ham United,8.56
Edson Álvarez,26,Defensive Midfield,Mexico,West Ham United,37.45
Tomas Soucek,29,Defensive Midfield,Czech Republic,West Ham United,32.1
Kalvin Phillips,28,Defensive Midfield,England,West Ham United,26.75
Flynn Downes,25,Defensive Midfield,England,West Ham United,9.63
James Ward-Prowse,29,Central Midfield,England,West Ham United,32.1
George Earthy,19,Central Midfield,England,West Ham United,1.07
Lucas Paquetá,26,Attacking Midfield,Brazil,West Ham United,69.55
Mohammed Kudus,23,Attacking Midfield,Ghana,West Ham United,53.5
Maxwel Cornet,27,Left Winger,Cote d'Ivoire,West Ham United,9.63
Jarrod Bowen,27,Right Winger,England,West Ham United,53.5
Danny Ings,31,Centre-Forward,England,West Ham United,8.56
Michail Antonio,34,Centre-Forward,Jamaica,West Ham United,4.28
Callum Marshall,19,Centre-Forward,Northern Ireland,West Ham United,2.14
Divin Mubama,19,Centre-Forward,England,West Ham United,1.07
Mark Flekken,31,Goalkeeper,Netherlands,Brentford FC,12.84
Thomas Strakosha,29,Goalkeeper,Albania,Brentford FC,3.21
Hákon Rafn Valdimarsson,22,Goalkeeper,Iceland,Brentford FC,2.67
Matthew Cox,21,Goalkeeper,England,Brentford FC,0.86
Ellery Balcombe,24,Goalkeeper,England,Brentford FC,0.32
Nathan Collins,23,Centre-Back,Ireland,Brentford FC,26.75
Kristoffer Ajer,26,Centre-Back,Norway,Brentford FC,16.05
Ethan Pinnock,31,Centre-Back,Jamaica,Brentford FC,12.84
Zanka,34,Centre-Back,Denmark,Brentford FC,1.07
Ben Mee,34,Centre-Back,England,Brentford FC,1.07
Charlie Goode,28,Centre-Back,England,Brentford FC,0.54
Rico Henry,26,Left-Back,England,Brentford FC,21.4
Aaron Hickey,22,Right-Back,Scotland,Brentford FC,29.96
Mads Roerslev,25,Right-Back,Denmark,Brentford FC,10.7
Fin Stevens,21,Right-Back,Wales,Brentford FC,0.48
Vitaly Janelt,26,Defensive Midfield,Germany,Brentford FC,23.54
Christian Nørgaard,30,Defensive Midfield,Denmark,Brentford FC,19.26
Yunus Emre Konak,18,Defensive Midfield,Türkiye,Brentford FC,3.75
Mathias Jensen,28,Central Midfield,Denmark,Brentford FC,29.96
Josh Dasilva,25,Central Midfield,England,Brentford FC,10.7
Frank Onyeka,26,Central Midfield,Nigeria,Brentford FC,9.63
Shandon Baptiste,26,Central Midfield,Grenada,Brentford FC,2.67
Paris Maghoma,23,Central Midfield,England,Brentford FC,0.37
Ryan Trevitt,21,Central Midfield,England,Brentford FC,0.29
Yegor Yarmolyuk,20,Attacking Midfield,Ukraine,Brentford FC,10.7
Saman Ghoddos,30,Attacking Midfield,Iran,Brentford FC,2.14
Myles Peart-Harris,21,Attacking Midfield,Jamaica,Brentford FC,0.75
Yoane Wissa,27,Left Winger,DR Congo,Brentford FC,29.96
Keane Lewis-Potter,23,Left Winger,England,Brentford FC,16.05
Mikkel Damsgaard,23,Left Winger,Denmark,Brentford FC,10.7
Bryan Mbeumo,24,Right Winger,Cameroon,Brentford FC,42.8
Kevin Schade,22,Right Winger,Germany,Brentford FC,23.54
Ivan Toney,28,Centre-Forward,England,Brentford FC,53.5
Neal Maupay,27,Centre-Forward,France,Brentford FC,12.84
Matt Turner,30,Goalkeeper,United States,Nottingham Forest,7.49
Odysseas Vlachodimos,30,Goalkeeper,Greece,Nottingham Forest,7.49
Matz Sels,32,Goalkeeper,Belgium,Nottingham Forest,7.49
Wayne Hennessey,37,Goalkeeper,Wales,Nottingham Forest,0.27
Murillo,21,Centre-Back,Brazil,Nottingham Forest,37.45
Moussa Niakhaté,28,Centre-Back,Senegal,Nottingham Forest,17.12
Andrew Omobamidele,22,Centre-Back,Ireland,Nottingham Forest,11.77
Willy Boly,33,Centre-Back,Cote d'Ivoire,Nottingham Forest,2.67
Felipe,35,Centre-Back,Brazil,Nottingham Forest,1.6
Nuno Tavares,24,Left-Back,Portugal,Nottingham Forest,16.05
Harry Toffolo,28,Left-Back,England,Nottingham Forest,5.35
Neco Williams,23,Right-Back,Wales,Nottingham Forest,18.19
Ola Aina,27,Right-Back,Nigeria,Nottingham Forest,12.84
Gonzalo Montiel,27,Right-Back,Argentina,Nottingham Forest,10.7
Ibrahim Sangaré,26,Defensive Midfield,Cote d'Ivoire,Nottingham Forest,32.1
Cheikhou Kouyaté,34,Defensive Midfield,Senegal,Nottingham Forest,1.07
Danilo,23,Central Midfield,Brazil,Nottingham Forest,29.96
Nicolás Domínguez,25,Central Midfield,Argentina,Nottingham Forest,18.19
Ryan Yates,26,Central Midfield,England,Nottingham Forest,12.84
Lewis O'Brien,25,Central Midfield,England,Nottingham Forest,5.35
Harry Arter,34,Central Midfield,Ireland,Nottingham Forest,0.43
Morgan Gibbs-White,24,Attacking Midfield,England,Nottingham Forest,42.8
Giovanni Reyna,21,Attacking Midfield,United States,Nottingham Forest,19.26
Brandon Aguilera,20,Attacking Midfield,Costa Rica,Nottingham Forest,0.32
Callum Hudson-Odoi,23,Left Winger,England,Nottingham Forest,19.26
Emmanuel Dennis,26,Left Winger,Nigeria,Nottingham Forest,4.49
Alex Mighten,22,Left Winger,England,Nottingham Forest,0.64
Anthony Elanga,22,Right Winger,Sweden,Nottingham Forest,23.54
Josh Bowler,25,Right Winger,England,Nottingham Forest,1.6
Taiwo Awoniyi,26,Centre-Forward,Nigeria,Nottingham Forest,29.96
Chris Wood,32,Centre-Forward,New Zealand,Nottingham Forest,7.49
Divock Origi,29,Centre-Forward,Belgium,Nottingham Forest,5.35
Rodrigo Ribeiro,19,Centre-Forward,Portugal,Nottingham Forest,3.21
Mark Travers,25,Goalkeeper,Ireland,AFC Bournemouth,3.75
Andrei Radu,27,Goalkeeper,Romania,AFC Bournemouth,3.21
Neto,34,Goalkeeper,Brazil,AFC Bournemouth,2.67
Will Dennis,23,Goalkeeper,England,AFC Bournemouth,0.37
Darren Randolph,37,Goalkeeper,Ireland,AFC Bournemouth,0.32
Ilya Zabarnyi,21,Centre-Back,Ukraine,AFC Bournemouth,34.24
Marcos Senesi,27,Centre-Back,Argentina,AFC Bournemouth,23.54
Lloyd Kelly,25,Centre-Back,England,AFC Bournemouth,19.26
Chris Mepham,26,Centre-Back,Wales,AFC Bournemouth,6.42
James Hill,22,Centre-Back,England,AFC Bournemouth,2.14
Milos Kerkez,20,Left-Back,Hungary,AFC Bournemouth,21.4
Max Aarons,24,Right-Back,England,AFC Bournemouth,17.12
Ryan Fredericks,31,Right-Back,England,AFC Bournemouth,1.07
Adam Smith,33,Right-Back,England,AFC Bournemouth,1.07
Tyler Adams,25,Defensive Midfield,United States,AFC Bournemouth,16.05
Philip Billing,28,Central Midfield,Denmark,AFC Bournemouth,23.54
Alex Scott,20,Central Midfield,England,AFC Bournemouth,21.4
Lewis Cook,27,Central Midfield,England,AFC Bournemouth,12.84
Joe Rothwell,29,Central Midfield,England,AFC Bournemouth,2.67
Gavin Kilkenny,24,Central Midfield,Ireland,AFC Bournemouth,0.32
Romain Faivre,25,Right Midfield,France,AFC Bournemouth,16.05
Marcus Tavernier,25,Left Midfield,England,AFC Bournemouth,21.4
Ryan Christie,29,Attacking Midfield,Scotland,AFC Bournemouth,12.84
Emiliano Marcondes,29,Attacking Midfield,Denmark,AFC Bournemouth,1.6
Dango Ouattara,22,Left Winger,Burkina Faso,AFC Bournemouth,21.4
Luis Sinisterra,25,Left Winger,Colombia,AFC Bournemouth,18.19
Justin Kluivert,25,Left Winger,Netherlands,AFC Bournemouth,14.98
Jaidon Anthony,24,Left Winger,England,AFC Bournemouth,6.42
Antoine Semenyo,24,Right Winger,Ghana,AFC Bournemouth,10.7
David Brooks,26,Right Winger,Wales,AFC Bournemouth,8.56
Dominic Solanke,26,Centre-Forward,England,AFC Bournemouth,42.8
Enes Ünal,27,Centre-Forward,Türkiye,AFC Bournemouth,19.26
Kieffer Moore,31,Centre-Forward,Wales,AFC Bournemouth,2.14
Jamal Lowe,29,Centre-Forward,Jamaica,AFC Bournemouth,1.6
José Sá,31,Goalkeeper,Portugal,Wolverhampton Wanderers FC,14.98
Daniel Bentley,30,Goalkeeper,England,Wolverhampton Wanderers FC,2.14
Louie Moulden,22,Goalkeeper,England,Wolverhampton Wanderers FC,0.21
Tom King,29,Goalkeeper,Wales,Wolverhampton Wanderers FC,0.21
Max Kilman,27,Centre-Back,England,Wolverhampton Wanderers FC,34.24
Toti,25,Centre-Back,Portugal,Wolverhampton Wanderers FC,21.4
Santiago Bueno,25,Centre-Back,Uruguay,Wolverhampton Wanderers FC,8.56
Craig Dawson,34,Centre-Back,England,Wolverhampton Wanderers FC,2.14
Rayan Aït-Nouri,23,Left-Back,Algeria,Wolverhampton Wanderers FC,37.45
Hugo Bueno,21,Left-Back,Spain,Wolverhampton Wanderers FC,6.42
Nélson Semedo,30,Right-Back,Portugal,Wolverhampton Wanderers FC,12.84
Ki-Jana Hoever,22,Right-Back,Netherlands,Wolverhampton Wanderers FC,4.82
Matt Doherty,32,Right-Back,Ireland,Wolverhampton Wanderers FC,3.21
Mario Lemina,30,Defensive Midfield,Gabon,Wolverhampton Wanderers FC,10.7
